famille	rang	photo	libelle1	libelle2	libelle3	libelle4	libelle5	libelle6	pvttc	pvht	tva	tph	pvbarre	refweb	etat	four	reffour
51	60	gd-120cm-4er.jpeg	CASIOGD-120CM-4ER	Montre CASIO G-SHOCK					  19400.00	  19207.92	    192.08	      0.00	      0.00	RE4-MC021-DG   4		4	GD-120CM-4ER
51	61	gd-x6900ht-2-er.jpg	CASIOGD-X6900HT-2 ER	MONTRE CASIO					  28381.00	  28100.00	    281.00	      0.00	      0.00	RE 2-TH0096X-DG   4		4	GD-X6900HT-2 ER
51	62	gd-x6900ht-4-er.jpg	CASIOGD-X6900HT-4 ER	MONTRE CASIO					  28381.00	  28100.00	    281.00	      0.00	      0.00	RE 4-TH0096X-DG   4		4	GD-X6900HT-4 ER
51	63	gd-x6900mc-3-er.jpg	CASIOGD-X6900MC-3 ER	MONTRE CASIO					  24442.00	  24200.00	    242.00	      0.00	      0.00	RE 3-CM0096X-DG   4		4	GD-X6900MC-3 ER
51	64	gls-6900-2a-er.jpg	CASIOGLS-6900-2A ER	Montre CASIO G-SHOCK					  14800.00	  14653.47	    146.53	      0.00	      0.00	RE A2-0096-SLG   4		4	GLS-6900-2A ER
51	65	gls-6900-2er.jpg	CASIOGLS-6900-2ER	Montre CASIO G-SHOCK					  14800.00	  14653.47	    146.53	      0.00	      0.00	RE2-0096-SLG   4		4	GLS-6900-2ER
51	66	gls-8900cm-4-er.jpg	CASIOGLS-8900CM-4 ER	MONTRE CASIO					  24543.00	  24300.00	    243.00	      0.00	      0.00	RE 4-MC0098-SLG   4		4	GLS-8900CM-4 ER
51	67	glx-5600f-2e-r.jpg	CASIOGLX-5600F-2E R	MONTRE CASIO HOMME					  24543.00	  24300.00	    243.00	      0.00	      0.00	R E2-F0065-XLG   4		4	GLX-5600F-2E R
51	68	gma-s110hc-2-ae.jpg	CASIOGMA-S110HC-2 AE	MONTRE CASIO					  24543.00	  24300.00	    243.00	      0.00	      0.00	EA 2-CH011S-AMG   4		4	GMA-S110HC-2 AE
51	69	gma-s130-1a-er.jpg	CASIOGMA-S130-1A ER	Montre G-shock homme					  20500.00	  20297.03	    202.97	      0.00	      0.00	RE A1-031S-AMG   4		4	GMA-S130-1A ER
51	70	gma-s130-4a-er.jpg	CASIOGMA-S130-4A ER	Montre G-shock homme					  20500.00	  20297.03	    202.97	      0.00	      0.00	RE A4-031S-AMG   4		4	GMA-S130-4A ER
51	72	gpw-1000-1a-er.jpg	CASIOGPW-1000-1A ER	Montre CASIO G-SHOCK					 119000.00	 117821.78	   1178.22	      0.00	      0.00	RE A1-0001-WPG   4		4	GPW-1000-1A ER
51	73	gpw-2000-1a-er.jpg	CASIOGPW-2000-1A ER	Montre G-shock homme					 125700.00	 124455.44	   1244.56	      0.00	      0.00	RE A1-0002-WPG   4		4	GPW-2000-1A ER
51	74	gst-b100x-1a-er.jpg	CASIOGST-B100X-1A ER	Montre G-shock homme					 106900.00	 105841.58	   1058.42	      0.00	      0.00	RE A1-X001B-TSG   4		4	GST-B100X-1A ER
51	75	gst-w110d-1a-er.jpg	CASIOGST-W110D-1A ER	MONTRE CASIO HOMME					  55000.00	  54455.45	    544.55	      0.00	      0.00	RE A1-D011W-TSG   4		4	GST-W110D-1A ER
51	76	gst-w310-1a-er.jpg	CASIOGST-W310-1A ER	Montre G-shock homme					  44000.00	  43564.36	    435.64	      0.00	      0.00	RE A1-013W-TSG   4		4	GST-W310-1A ER
51	77	gw-7900-1er.jpg	CASIOGW-7900-1ER	Montre CASIO G-SHOCK					  22200.00	  21980.20	    219.80	      0.00	      0.00	RE1-0097-WG   4		4	GW-7900-1ER
51	78	gw-7900b-1er.jpg	CASIOGW-7900B-1ER	Montre CASIO  G-SHOCK					  23600.00	  23366.34	    233.66	      0.00	      0.00	RE1-B0097-WG   4		4	GW-7900B-1ER
51	79	gw-9400-3er.jpg	CASIOGW-9400-3ER	MONTRE CASIO					  53530.00	  53000.00	    530.00	      0.00	      0.00	RE3-0049-WG   4		4	GW-9400-3ER
15	20	d1-57.jpg	DIAM'SD1.57	Alliance en or jaune 18 carats 6 diamants de 0.15 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>6,40 Gr<BR><PUn><BR><PCn>			 386200.00	 385236.82	    963.18	      0.00	      0.00	75.1D 999		999	D1.57
51	80	gwf-d1000-1-er.jpg	CASIOGWF-D1000-1 ER	Montre CASIO G-SHOCK FROGMAN					 148800.00	 147326.73	   1473.27	      0.00	      0.00	RE 1-0001D-FWG   4		4	GWF-D1000-1 ER
51	81	gwf-d1000b-1-er.jpg	CASIOGWF-D1000B-1 ER	MONTRE G-SHOCK FROGMAN					 166549.00	 164900.00	   1649.00	      0.00	      0.00	RE 1-B0001D-FWG   4		4	GWF-D1000B-1 ER
51	82	gwf-d1000nv-2-e.jpg	CASIOGWF-D1000NV 2 E	Montre CASIO G-SHOCK FROGMAN					 163900.00	 162277.23	   1622.77	      0.00	      0.00	E 2 VN0001D-FWG   4		4	GWF-D1000NV 2 E
51	83	gwn-q1000-1a-er.jpg	CASIOGWN-Q1000-1A ER	MONTRE G-SHOCK GULFMASTER					 120897.00	 119700.00	   1197.00	      0.00	      0.00	RE A1-0001Q-NWG   4		4	GWN-Q1000-1A ER
