famille	four	reffour	refweb	qte	taille
51	4	GD-120CM-4ER	RE4-MC021-DG   4	1	unique
51	4	GD-X6900HT-2 ER	RE 2-TH0096X-DG   4	1	unique
51	4	GD-X6900HT-4 ER	RE 4-TH0096X-DG   4	1	unique
51	4	GD-X6900MC-3 ER	RE 3-CM0096X-DG   4	1	unique
51	4	GLS-6900-2A ER	RE A2-0096-SLG   4	1	unique
51	4	GLS-6900-2ER	RE2-0096-SLG   4	1	unique
51	4	GLS-8900CM-4 ER	RE 4-MC0098-SLG   4	1	unique
51	4	GLX-5600F-2E R	R E2-F0065-XLG   4	1	unique
51	4	GMA-S110HC-2 AE	EA 2-CH011S-AMG   4	1	unique
51	4	GMA-S130-1A ER	RE A1-031S-AMG   4	1	unique
51	4	GMA-S130-4A ER	RE A4-031S-AMG   4	1	unique
51	4	GPW-1000-1A ER	RE A1-0001-WPG   4	1	unique
51	4	GPW-2000-1A ER	RE A1-0002-WPG   4	1	unique
51	4	GST-B100X-1A ER	RE A1-X001B-TSG   4	1	unique
51	4	GST-W110D-1A ER	RE A1-D011W-TSG   4	1	unique
51	4	GST-W310-1A ER	RE A1-013W-TSG   4	1	unique
51	4	GW-7900-1ER	RE1-0097-WG   4	1	unique
51	4	GW-7900B-1ER	RE1-B0097-WG   4	2	unique
51	4	GW-9400-3ER	RE3-0049-WG   4	1	unique
15	999	D1.57	75.1D 999	1	0
51	4	GWF-D1000-1 ER	RE 1-0001D-FWG   4	1	unique
51	4	GWF-D1000B-1 ER	RE 1-B0001D-FWG   4	1	unique
51	4	GWF-D1000NV 2 E	E 2 VN0001D-FWG   4	1	unique
51	4	GWN-Q1000-1A ER	RE A1-0001Q-NWG   4	1	unique
51	4	GWN-Q1000NV- 2A	A2 -VN0001Q-NWG   4	1	unique
51	999	2495141	1415942 999	1	unique
51	999	2497048	8407942 999	1	unique
51	999	2505323	3235052 999	1	unique
51	999	2505326	6235052 999	1	unique
51	999	2509147	7419052 999	1	unique
51	4	GBA-400-3BER	REB3-004-ABG   4	1	unique
31	999	D6.10	01.6D 999	1	unique
31	999	D6.10/OB	BO/01.6D 999	1	unique
31	999	D6.14/OB	BO/41.6D 999	1	unique
31	999	D6.15/OB	BO/51.6D 999	1	unique
31	999	D6.27/OB	BO/72.6D 999	1	unique
31	999	D6.3-OB	BO-3.6D 999	1	unique
31	999	D6.36-OB	BO-63.6D 999	1	unique
31	999	D6.39	93.6D 999	1	unique
31	999	D6.42-OB	BO-24.6D 999	1	unique
31	999	D6.43-OB	BO-34.6D 999	1	unique
31	999	D6.52	25.6D 999	1	unique
31	999	D6.59	95.6D 999	1	unique
31	999	D6.6	6.6D 999	1	unique
31	999	D6.60	06.6D 999	1	unique
31	999	D6.76-OB	BO-67.6D 999	1	unique
31	999	D6.77-OB	BO-77.6D 999	1	unique
31	999	D6.78-OB	BO-87.6D 999	1	unique
31	999	D6.8	8.6D 999	1	unique
11	999	0.58	85.0 999	1	0
31	999	D6.8/OB	BO/8.6D 999	1	unique
11	999	0.791	197.0 999	1	0
31	999	D6.83	38.6D 999	1	unique
11	999	0.819	918.0 999	1	0
31	999	D6.86-OB	BO-68.6D 999	1	unique
31	999	D6.9	9.6D 999	1	unique
11	999	0.822	228.0 999	1	0
31	999	D6.9/OB	BO/9.6D 999	1	unique
11	999	0.953	359.0 999	1	0
11	999	D0.100	001.0D 999	1	0
11	999	D0.101-OB	BO-101.0D 999	1	0
11	999	D0.102-OB	BO-201.0D 999	1	0
11	999	D0.114	411.0D 999	1	0
11	999	D0.117	711.0D 999	1	0
11	999	D0.12/OB	BO/21.0D 999	1	0
17	999	1.246	642.1 999	1	0
11	999	D0.136-OB	BO-631.0D 999	1	0
11	999	D0.139	931.0D 999	1	0
11	999	D0.14	41.0D 999	1	0
11	999	D0.149-OB	BO-941.0D 999	1	0
11	999	D0.18	81.0D 999	1	0
11	999	D0.19	91.0D 999	1	0
11	999	D0.27	72.0D 999	1	0
11	999	D0.27/OB	BO/72.0D 999	1	0
11	999	D0.46	64.0D 999	1	0
11	999	D0.53	35.0D 999	1	0
11	999	D0.58/OB	BO/85.0D 999	1	0
11	999	D0.66	66.0D 999	1	0
11	999	D0.67	76.0D 999	1	0
11	999	D0.67/OB	BO/76.0D 999	1	0
11	999	D0.72-OB	BO-27.0D 999	1	0
11	999	D0.76-OB	BO-67.0D 999	1	0
11	999	D0.79	97.0D 999	1	0
11	999	D0.81	18.0D 999	1	0
11	999	D0.84	48.0D 999	1	0
17	999	BG/3ORS	SRO3/GB 999	1	0
17	999	D1.111-OB	BO-111.1D 999	1	0
17	999	D1.112	211.1D 999	1	0
17	999	D1.127-OB	BO-721.1D 999	1	0
